amount,time
1983.80,Tue Feb 25 12:20:00 2020
1983.20,Tue Feb 25 12:20:02 2020
1984.00,Tue Feb 25 12:20:04 2020
1983.20,Tue Feb 25 12:20:06 2020
1983.90,Tue Feb 25 12:20:08 2020
1983.00,Tue Feb 25 12:20:10 2020
1983.00,Tue Feb 25 12:20:12 2020
1982.85,Tue Feb 25 12:20:14 2020
1983.00,Tue Feb 25 12:20:16 2020
1982.50,Tue Feb 25 12:20:18 2020
1983.00,Tue Feb 25 12:20:20 2020
1982.50,Tue Feb 25 12:20:22 2020
1982.50,Tue Feb 25 12:20:24 2020
1982.50,Tue Feb 25 12:20:26 2020
1981.60,Tue Feb 25 12:20:28 2020
1982.00,Tue Feb 25 12:20:30 2020
1982.00,Tue Feb 25 12:20:32 2020
1982.00,Tue Feb 25 12:20:34 2020
1981.60,Tue Feb 25 12:20:36 2020
1981.95,Tue Feb 25 12:20:38 2020
1982.00,Tue Feb 25 12:20:40 2020
1982.75,Tue Feb 25 12:20:42 2020
1982.25,Tue Feb 25 12:20:44 2020
1982.25,Tue Feb 25 12:20:46 2020
1983.00,Tue Feb 25 12:20:48 2020
1982.90,Tue Feb 25 12:20:50 2020
1983.20,Tue Feb 25 12:20:52 2020
1983.20,Tue Feb 25 12:20:54 2020
1983.20,Tue Feb 25 12:20:56 2020
1982.85,Tue Feb 25 12:20:58 2020
1983.00,Tue Feb 25 12:21:00 2020
1983.55,Tue Feb 25 12:21:02 2020
1983.20,Tue Feb 25 12:21:04 2020
1983.20,Tue Feb 25 12:21:06 2020
1983.45,Tue Feb 25 12:21:08 2020
1983.50,Tue Feb 25 12:21:10 2020
1983.45,Tue Feb 25 12:21:12 2020
1983.55,Tue Feb 25 12:21:14 2020
1983.70,Tue Feb 25 12:21:16 2020
1983.55,Tue Feb 25 12:21:18 2020
1983.70,Tue Feb 25 12:21:20 2020
1983.50,Tue Feb 25 12:21:22 2020
1983.50,Tue Feb 25 12:21:24 2020
1982.15,Tue Feb 25 12:21:26 2020
1983.00,Tue Feb 25 12:21:28 2020
1983.00,Tue Feb 25 12:21:30 2020
1982.25,Tue Feb 25 12:21:32 2020
1983.00,Tue Feb 25 12:21:34 2020
1983.00,Tue Feb 25 12:21:36 2020
1982.55,Tue Feb 25 12:21:38 2020
1982.25,Tue Feb 25 12:21:40 2020
1982.00,Tue Feb 25 12:21:42 2020
1982.00,Tue Feb 25 12:21:44 2020
1982.00,Tue Feb 25 12:21:46 2020
1981.95,Tue Feb 25 12:21:48 2020
1981.90,Tue Feb 25 12:21:50 2020
1981.20,Tue Feb 25 12:21:52 2020
1981.20,Tue Feb 25 12:21:54 2020
1981.60,Tue Feb 25 12:21:56 2020
1981.65,Tue Feb 25 12:21:58 2020
1981.65,Tue Feb 25 12:22:00 2020
1981.30,Tue Feb 25 12:22:02 2020
1981.30,Tue Feb 25 12:22:04 2020
1981.60,Tue Feb 25 12:22:06 2020
1983.00,Tue Feb 25 12:22:08 2020
1983.00,Tue Feb 25 12:22:10 2020
1982.70,Tue Feb 25 12:22:12 2020
1982.95,Tue Feb 25 12:22:14 2020
1983.00,Tue Feb 25 12:22:16 2020
1981.90,Tue Feb 25 12:22:18 2020
1982.90,Tue Feb 25 12:22:20 2020
1982.00,Tue Feb 25 12:22:22 2020
1982.60,Tue Feb 25 12:22:24 2020
1982.50,Tue Feb 25 12:22:26 2020
1982.00,Tue Feb 25 12:22:28 2020
1982.00,Tue Feb 25 12:22:30 2020
1982.15,Tue Feb 25 12:22:32 2020
1982.00,Tue Feb 25 12:22:34 2020
1982.85,Tue Feb 25 12:22:36 2020
1982.20,Tue Feb 25 12:22:38 2020
1982.80,Tue Feb 25 12:22:40 2020
1982.80,Tue Feb 25 12:22:42 2020
1982.75,Tue Feb 25 12:22:44 2020
1982.80,Tue Feb 25 12:22:46 2020
1982.50,Tue Feb 25 12:22:48 2020
1982.50,Tue Feb 25 12:22:50 2020
1982.75,Tue Feb 25 12:22:52 2020
1982.75,Tue Feb 25 12:22:54 2020
1982.75,Tue Feb 25 12:22:56 2020
1982.00,Tue Feb 25 12:22:58 2020
1982.00,Tue Feb 25 12:23:00 2020
1982.70,Tue Feb 25 12:23:02 2020
1982.70,Tue Feb 25 12:23:04 2020
1982.05,Tue Feb 25 12:23:06 2020
1982.00,Tue Feb 25 12:23:08 2020
1982.00,Tue Feb 25 12:23:10 2020
1982.00,Tue Feb 25 12:23:12 2020
1982.00,Tue Feb 25 12:23:14 2020
1981.80,Tue Feb 25 12:23:16 2020
1981.80,Tue Feb 25 12:23:18 2020
1981.35,Tue Feb 25 12:23:20 2020
1982.00,Tue Feb 25 12:23:22 2020
1981.80,Tue Feb 25 12:23:24 2020
1981.00,Tue Feb 25 12:23:26 2020
1981.00,Tue Feb 25 12:23:28 2020
1982.00,Tue Feb 25 12:23:30 2020
1980.00,Tue Feb 25 12:23:32 2020
1980.50,Tue Feb 25 12:23:34 2020
1980.50,Tue Feb 25 12:23:36 2020
1980.00,Tue Feb 25 12:23:38 2020
1980.00,Tue Feb 25 12:23:40 2020
1980.50,Tue Feb 25 12:23:42 2020
1980.45,Tue Feb 25 12:23:44 2020
1980.45,Tue Feb 25 12:23:46 2020
1981.25,Tue Feb 25 12:23:48 2020
1981.30,Tue Feb 25 12:23:50 2020
1981.40,Tue Feb 25 12:23:52 2020
1982.30,Tue Feb 25 12:23:54 2020
1982.30,Tue Feb 25 12:23:56 2020
1980.50,Tue Feb 25 12:23:58 2020
1980.50,Tue Feb 25 12:24:00 2020
1981.70,Tue Feb 25 12:24:02 2020
1980.50,Tue Feb 25 12:24:04 2020
1981.35,Tue Feb 25 12:24:06 2020
1980.60,Tue Feb 25 12:24:08 2020
1981.15,Tue Feb 25 12:24:10 2020
1981.30,Tue Feb 25 12:24:12 2020
1981.20,Tue Feb 25 12:24:14 2020
1981.50,Tue Feb 25 12:24:16 2020
1981.25,Tue Feb 25 12:24:18 2020
1981.35,Tue Feb 25 12:24:20 2020
1981.35,Tue Feb 25 12:24:22 2020
1981.35,Tue Feb 25 12:24:24 2020
1981.90,Tue Feb 25 12:24:26 2020
1982.00,Tue Feb 25 12:24:28 2020
1981.25,Tue Feb 25 12:24:30 2020
1982.25,Tue Feb 25 12:24:32 2020
1982.85,Tue Feb 25 12:24:34 2020
1982.00,Tue Feb 25 12:24:36 2020
1982.70,Tue Feb 25 12:24:38 2020
1982.05,Tue Feb 25 12:24:40 2020
1982.05,Tue Feb 25 12:24:42 2020
1982.05,Tue Feb 25 12:24:44 2020
1982.65,Tue Feb 25 12:24:46 2020
1982.20,Tue Feb 25 12:24:48 2020
1982.20,Tue Feb 25 12:24:50 2020
1982.80,Tue Feb 25 12:24:52 2020
1982.20,Tue Feb 25 12:24:54 2020
1982.85,Tue Feb 25 12:24:56 2020
1982.20,Tue Feb 25 12:24:58 2020
1982.65,Tue Feb 25 12:25:00 2020
1982.00,Tue Feb 25 12:25:02 2020
1981.95,Tue Feb 25 12:25:04 2020
1981.95,Tue Feb 25 12:25:06 2020
1982.00,Tue Feb 25 12:25:08 2020
1982.00,Tue Feb 25 12:25:10 2020
1982.50,Tue Feb 25 12:25:12 2020
1982.00,Tue Feb 25 12:25:14 2020
1981.35,Tue Feb 25 12:25:16 2020
1981.95,Tue Feb 25 12:25:18 2020
1982.00,Tue Feb 25 12:25:20 2020
1982.00,Tue Feb 25 12:25:22 2020
1981.35,Tue Feb 25 12:25:24 2020
1982.00,Tue Feb 25 12:25:26 2020
1981.35,Tue Feb 25 12:25:28 2020
1981.85,Tue Feb 25 12:25:30 2020
1981.40,Tue Feb 25 12:25:32 2020
1981.85,Tue Feb 25 12:25:34 2020
1981.40,Tue Feb 25 12:25:36 2020
1981.85,Tue Feb 25 12:25:38 2020
1981.95,Tue Feb 25 12:25:40 2020
1981.35,Tue Feb 25 12:25:42 2020
1981.50,Tue Feb 25 12:25:44 2020
1981.35,Tue Feb 25 12:25:46 2020
1981.40,Tue Feb 25 12:25:48 2020
1981.95,Tue Feb 25 12:25:50 2020
1981.95,Tue Feb 25 12:25:52 2020
1981.95,Tue Feb 25 12:25:54 2020
1981.95,Tue Feb 25 12:25:56 2020
1982.00,Tue Feb 25 12:25:58 2020
1982.00,Tue Feb 25 12:26:00 2020
1981.90,Tue Feb 25 12:26:02 2020
1981.80,Tue Feb 25 12:26:04 2020
1982.00,Tue Feb 25 12:26:06 2020
1981.05,Tue Feb 25 12:26:08 2020
1981.90,Tue Feb 25 12:26:10 2020
1981.80,Tue Feb 25 12:26:12 2020
1981.80,Tue Feb 25 12:26:14 2020
1981.80,Tue Feb 25 12:26:16 2020
1981.90,Tue Feb 25 12:26:18 2020
1981.90,Tue Feb 25 12:26:20 2020
1981.80,Tue Feb 25 12:26:22 2020
1981.80,Tue Feb 25 12:26:24 2020
1982.00,Tue Feb 25 12:26:26 2020
1982.00,Tue Feb 25 12:26:28 2020
1981.50,Tue Feb 25 12:26:30 2020
1982.00,Tue Feb 25 12:26:32 2020
1981.90,Tue Feb 25 12:26:34 2020
1981.90,Tue Feb 25 12:26:36 2020
1982.00,Tue Feb 25 12:26:38 2020
1981.20,Tue Feb 25 12:26:40 2020
1982.00,Tue Feb 25 12:26:42 2020
1981.90,Tue Feb 25 12:26:44 2020
1981.25,Tue Feb 25 12:26:46 2020
1982.00,Tue Feb 25 12:26:48 2020
1981.50,Tue Feb 25 12:26:50 2020
1981.95,Tue Feb 25 12:26:52 2020
1981.50,Tue Feb 25 12:26:54 2020
1981.25,Tue Feb 25 12:26:56 2020
1981.00,Tue Feb 25 12:26:58 2020
1980.85,Tue Feb 25 12:27:00 2020
1980.00,Tue Feb 25 12:27:02 2020
1979.05,Tue Feb 25 12:27:04 2020
1979.05,Tue Feb 25 12:27:06 2020
1978.85,Tue Feb 25 12:27:08 2020
1979.10,Tue Feb 25 12:27:10 2020
1979.50,Tue Feb 25 12:27:12 2020
1978.50,Tue Feb 25 12:27:14 2020
1981.50,Tue Feb 25 12:27:16 2020
1981.50,Tue Feb 25 12:27:18 2020
1981.50,Tue Feb 25 12:27:20 2020
1981.35,Tue Feb 25 12:27:22 2020
1981.35,Tue Feb 25 12:27:24 2020
1981.35,Tue Feb 25 12:27:26 2020
1981.35,Tue Feb 25 12:27:28 2020
1981.05,Tue Feb 25 12:27:30 2020
1981.05,Tue Feb 25 12:27:32 2020
1981.00,Tue Feb 25 12:27:34 2020
1980.40,Tue Feb 25 12:27:36 2020
1980.35,Tue Feb 25 12:27:38 2020
1981.00,Tue Feb 25 12:27:40 2020
1981.40,Tue Feb 25 12:27:42 2020
1980.50,Tue Feb 25 12:27:44 2020
1980.30,Tue Feb 25 12:27:46 2020
1981.40,Tue Feb 25 12:27:48 2020
1980.40,Tue Feb 25 12:27:50 2020
1981.00,Tue Feb 25 12:27:52 2020
1981.00,Tue Feb 25 12:27:54 2020
1981.00,Tue Feb 25 12:27:56 2020
1980.35,Tue Feb 25 12:27:58 2020
1981.00,Tue Feb 25 12:28:00 2020
1981.00,Tue Feb 25 12:28:02 2020
1980.45,Tue Feb 25 12:28:04 2020
1980.45,Tue Feb 25 12:28:06 2020
1981.30,Tue Feb 25 12:28:08 2020
1981.10,Tue Feb 25 12:28:10 2020
1981.00,Tue Feb 25 12:28:12 2020
1981.00,Tue Feb 25 12:28:14 2020
1981.50,Tue Feb 25 12:28:16 2020
1981.30,Tue Feb 25 12:28:18 2020
1981.30,Tue Feb 25 12:28:20 2020
1981.50,Tue Feb 25 12:28:22 2020
1981.50,Tue Feb 25 12:28:24 2020
1981.05,Tue Feb 25 12:28:26 2020
1981.90,Tue Feb 25 12:28:28 2020
1981.80,Tue Feb 25 12:28:30 2020
1982.00,Tue Feb 25 12:28:32 2020
1981.80,Tue Feb 25 12:28:34 2020
1981.80,Tue Feb 25 12:28:36 2020
1981.85,Tue Feb 25 12:28:38 2020
1982.00,Tue Feb 25 12:28:40 2020
1982.50,Tue Feb 25 12:28:42 2020
1982.50,Tue Feb 25 12:28:44 2020
1982.35,Tue Feb 25 12:28:46 2020
1983.00,Tue Feb 25 12:28:48 2020
1982.70,Tue Feb 25 12:28:50 2020
1982.35,Tue Feb 25 12:28:52 2020
1982.35,Tue Feb 25 12:28:54 2020
1982.35,Tue Feb 25 12:28:56 2020
1982.25,Tue Feb 25 12:28:58 2020
1982.95,Tue Feb 25 12:29:00 2020
1981.35,Tue Feb 25 12:29:02 2020
1982.00,Tue Feb 25 12:29:04 2020
1982.00,Tue Feb 25 12:29:06 2020
1982.00,Tue Feb 25 12:29:08 2020
1982.50,Tue Feb 25 12:29:10 2020
1982.50,Tue Feb 25 12:29:12 2020
1982.50,Tue Feb 25 12:29:14 2020
1982.00,Tue Feb 25 12:29:16 2020
1981.75,Tue Feb 25 12:29:18 2020
1982.70,Tue Feb 25 12:29:20 2020
1982.00,Tue Feb 25 12:29:22 2020
1982.00,Tue Feb 25 12:29:24 2020
1982.60,Tue Feb 25 12:29:26 2020
1982.60,Tue Feb 25 12:29:28 2020
1982.60,Tue Feb 25 12:29:30 2020
1982.45,Tue Feb 25 12:29:32 2020
