percentagee,amount,time
2.00,1962.00,1582608669749
2.05,1962.95,1582608672793
2.05,1962.85,1582608675748
2.05,1962.85,1582608678790
2.05,1963.00,1582608681746
2.05,1963.00,1582608684746
2.09,1963.70,1582608687789
2.05,1963.00,1582608690790
2.05,1963.00,1582608693751
2.00,1962.00,1582608696790
2.00,1962.00,1582608699787
2.05,1963.00,1582608702790
2.05,1963.00,1582608705787
2.05,1962.95,1582608708789
2.00,1962.05,1582608711790
2.05,1963.00,1582608714761
2.05,1963.00,1582608717757
2.05,1963.00,1582608720764
2.05,1963.00,1582608723781
2.05,1962.95,1582608726763
2.01,1962.15,1582608729780
2.05,1963.00,1582608732781
2.05,1963.00,1582608735768
2.01,1962.20,1582608738789
2.04,1962.75,1582608741789
2.01,1962.15,1582608744788
2.04,1962.75,1582608747788
2.01,1962.15,1582608750771
2.01,1962.15,1582608753749
2.01,1962.15,1582608756787
2.00,1962.00,1582608759770
2.04,1962.80,1582608762765
2.00,1962.00,1582608765788
2.01,1962.10,1582608768788
2.04,1962.75,1582608771762
2.03,1962.50,1582608774788
2.03,1962.50,1582608777785
2.00,1961.90,1582608780787
1.98,1961.65,1582608783785
2.00,1962.00,1582608786788
1.98,1961.50,1582608789782
2.04,1962.65,1582608792788
2.01,1962.20,1582608795756
2.01,1962.20,1582608798763
2.01,1962.20,1582608801786
2.00,1962.00,1582608804787
1.98,1961.50,1582608807744
1.95,1961.10,1582608810780
2.03,1962.55,1582608813786
2.00,1962.00,1582608816786
1.98,1961.50,1582608819780
1.99,1961.70,1582608822784
1.98,1961.65,1582608825786
1.98,1961.65,1582608828786
2.00,1962.00,1582608831786
1.98,1961.55,1582608834763
1.98,1961.60,1582608837783
2.00,1962.00,1582608840787
1.98,1961.50,1582608843784
2.00,1962.00,1582608846748
1.98,1961.55,1582608849758
1.95,1961.00,1582608852786
1.95,1961.00,1582608855767
1.95,1961.00,1582608858777
1.95,1961.00,1582608861748
1.95,1961.00,1582608864785
1.97,1961.45,1582608867785
1.92,1960.50,1582608870783
1.95,1961.00,1582608873785
1.95,1961.00,1582608876754
1.93,1960.70,1582608879760
1.94,1960.80,1582608882785
1.93,1960.70,1582608885764
1.91,1960.25,1582608888777
1.92,1960.35,1582608891759
1.92,1960.45,1582608894744
1.93,1960.55,1582608897784
1.92,1960.45,1582608900778
1.91,1960.30,1582608903781
1.95,1960.95,1582608906741
1.95,1960.95,1582608909740
1.95,1960.95,1582608912761
1.95,1960.95,1582608915782
1.92,1960.35,1582608918784
1.98,1961.50,1582608921769
1.98,1961.50,1582608924756
1.95,1961.00,1582608927783
1.95,1961.00,1582608930776
1.97,1961.40,1582608933783
1.93,1960.55,1582608936742
1.95,1961.00,1582608939781
1.95,1961.00,1582608942767
1.92,1960.50,1582608945782
1.92,1960.35,1582608948745
1.92,1960.35,1582608951776
1.91,1960.30,1582608954782
1.94,1960.90,1582608957782
1.94,1960.90,1582608960757
1.91,1960.30,1582608963782
1.91,1960.30,1582608966781
1.95,1961.00,1582608969782
1.92,1960.35,1582608972777
1.95,1960.95,1582608975744
1.91,1960.25,1582608978739
1.91,1960.30,1582608981782
1.94,1960.90,1582608984780
1.92,1960.40,1582608987757
1.92,1960.40,1582608990744
1.92,1960.40,1582608993780
1.92,1960.50,1582608996768
1.92,1960.40,1582608999777
1.91,1960.25,1582609002780
1.91,1960.25,1582609005780
1.95,1960.95,1582609008760
1.90,1960.00,1582609011775
1.90,1960.00,1582609014753
1.90,1960.00,1582609017770
1.90,1960.00,1582609020780
1.93,1960.65,1582609023781
1.93,1960.55,1582609026757
1.95,1960.95,1582609029780
1.95,1961.05,1582609032778
1.90,1960.00,1582609035738
1.90,1960.10,1582609038746
1.91,1960.20,1582609041780
1.91,1960.15,1582609044774
1.95,1960.95,1582609047780
1.91,1960.15,1582609050765
1.95,1961.10,1582609053747
1.95,1961.00,1582609056779
1.95,1960.95,1582609059779
1.95,1961.00,1582609062779
1.91,1960.20,1582609065741
1.91,1960.20,1582609068779
1.91,1960.30,1582609071778
1.95,1961.00,1582609074778
1.91,1960.30,1582609077740
1.91,1960.30,1582609080777
1.91,1960.30,1582609083776
1.95,1961.00,1582609086738
1.91,1960.25,1582609089771
1.91,1960.30,1582609092777
1.95,1961.00,1582609095776
1.98,1961.50,1582609098777
1.97,1961.30,1582609101774
2.00,1962.00,1582609104776
2.00,1962.00,1582609107776
2.00,1961.95,1582609110776
1.98,1961.50,1582609113773
1.98,1961.50,1582609116774
1.98,1961.50,1582609119775
1.99,1961.85,1582609122776
1.99,1961.85,1582609125773
1.99,1961.85,1582609128746
2.00,1961.90,1582609131732
1.98,1961.55,1582609134760
1.98,1961.55,1582609137768
2.02,1962.45,1582609140738
2.00,1961.95,1582609143775
2.00,1961.95,1582609146766
2.00,1962.00,1582609149737
2.05,1962.95,1582609152775
2.01,1962.20,1582609155731
2.01,1962.15,1582609158775
2.03,1962.50,1582609161735
2.05,1962.95,1582609164754
2.02,1962.45,1582609167775
2.03,1962.50,1582609170771
2.03,1962.50,1582609173739
2.05,1962.95,1582609176774
2.05,1963.00,1582609179756
2.04,1962.70,1582609182769
2.04,1962.75,1582609185774
2.10,1963.90,1582609188775
2.05,1962.90,1582609191731
2.05,1962.90,1582609194772
2.05,1962.90,1582609197771
2.04,1962.70,1582609200749
2.03,1962.50,1582609203749
2.02,1962.45,1582609206767
2.02,1962.45,1582609209768
2.01,1962.25,1582609212769
2.01,1962.25,1582609215768
2.03,1962.50,1582609218768
2.05,1962.90,1582609221772
2.05,1962.90,1582609224766
2.02,1962.30,1582609227767
2.01,1962.25,1582609230769
2.02,1962.35,1582609233758
2.02,1962.35,1582609236771
1.97,1961.30,1582609239772
2.00,1962.00,1582609242771
2.01,1962.10,1582609245744
2.00,1962.00,1582609248734
2.00,1962.05,1582609251729
2.00,1962.05,1582609254744
2.00,1962.05,1582609257767
2.00,1962.05,1582609260767
2.00,1962.00,1582609263772
2.00,1962.00,1582609266754
2.00,1962.00,1582609269735
2.00,1962.00,1582609272767
2.03,1962.50,1582609275758
2.01,1962.15,1582609278767
2.04,1962.80,1582609281767
2.00,1962.00,1582609284767
2.04,1962.70,1582609287766
