percentage,amount,time
3.09,1983.00,1582613412639
3.09,1982.85,1582613414601
3.09,1983.00,1582613416641
3.07,1982.50,1582613418640
3.09,1983.00,1582613420599
3.07,1982.50,1582613422641
3.07,1982.50,1582613424639
3.07,1982.50,1582613426638
3.02,1981.60,1582613428640
3.04,1982.00,1582613430640
3.04,1982.00,1582613432614
3.04,1982.00,1582613434636
3.02,1981.60,1582613436639
3.04,1981.95,1582613438637
3.04,1982.00,1582613440641
3.08,1982.75,1582613442638
3.05,1982.25,1582613444596
3.05,1982.25,1582613446638
3.09,1983.00,1582613448639
3.09,1982.90,1582613450637
3.10,1983.20,1582613452639
3.10,1983.20,1582613454637
3.10,1983.20,1582613456636
3.09,1982.85,1582613458605
3.09,1983.00,1582613460639
3.12,1983.55,1582613462597
3.10,1983.20,1582613464600
3.10,1983.20,1582613466638
3.12,1983.45,1582613468638
3.12,1983.50,1582613470621
3.12,1983.45,1582613472638
3.12,1983.55,1582613474600
3.13,1983.70,1582613476599
3.12,1983.55,1582613478632
3.13,1983.70,1582613480638
3.12,1983.50,1582613482611
3.12,1983.50,1582613484636
3.05,1982.15,1582613486602
3.09,1983.00,1582613488638
3.09,1983.00,1582613490637
3.05,1982.25,1582613492635
3.09,1983.00,1582613494636
3.09,1983.00,1582613496635
3.07,1982.55,1582613498637
3.05,1982.25,1582613500637
3.04,1982.00,1582613502636
3.04,1982.00,1582613504599
3.04,1982.00,1582613506634
3.04,1981.95,1582613508635
3.04,1981.90,1582613510636
3.00,1981.20,1582613512636
3.00,1981.20,1582613514636
3.02,1981.60,1582613516594
3.02,1981.65,1582613518597
3.02,1981.65,1582613520636
3.00,1981.30,1582613522609
3.00,1981.30,1582613524638
3.02,1981.60,1582613526604
3.09,1983.00,1582613528603
3.09,1983.00,1582613530630
3.08,1982.70,1582613532631
3.09,1982.95,1582613534609
3.09,1983.00,1582613536629
3.04,1981.90,1582613538636
3.09,1982.90,1582613540637
3.04,1982.00,1582613542599
3.07,1982.60,1582613544636
3.07,1982.50,1582613546633
3.04,1982.00,1582613548596
3.04,1982.00,1582613550629
3.05,1982.15,1582613552610
3.04,1982.00,1582613554610
3.09,1982.85,1582613556636
3.05,1982.20,1582613558631
3.08,1982.80,1582613560634
3.08,1982.80,1582613562633
3.08,1982.75,1582613564604
3.08,1982.80,1582613566630
3.07,1982.50,1582613568634
3.07,1982.50,1582613570623
3.08,1982.75,1582613572634
3.08,1982.75,1582613574633
3.08,1982.75,1582613576632
3.04,1982.00,1582613578632
3.04,1982.00,1582613580634
3.08,1982.70,1582613582635
3.08,1982.70,1582613584637
3.04,1982.05,1582613586635
3.04,1982.00,1582613588634
3.04,1982.00,1582613590634
3.04,1982.00,1582613592635
3.04,1982.00,1582613594601
3.03,1981.80,1582613596593
3.03,1981.80,1582613598616
3.01,1981.35,1582613600635
3.04,1982.00,1582613602597
3.03,1981.80,1582613604635
2.99,1981.00,1582613606633
2.99,1981.00,1582613608632
3.04,1982.00,1582613610635
2.94,1980.00,1582613612635
2.96,1980.50,1582613614791
2.96,1980.50,1582613616631
2.94,1980.00,1582613618633
2.94,1980.00,1582613620634
2.96,1980.50,1582613622632
2.96,1980.45,1582613624631
2.96,1980.45,1582613626605
3.00,1981.25,1582613628633
3.00,1981.30,1582613630631
3.01,1981.40,1582613632629
3.06,1982.30,1582613634634
3.06,1982.30,1582613636631
2.96,1980.50,1582613638631
2.96,1980.50,1582613640632
3.03,1981.70,1582613642632
2.96,1980.50,1582613644611
3.01,1981.35,1582613646633
2.97,1980.60,1582613648598
3.00,1981.15,1582613650632
3.00,1981.30,1582613652633
3.00,1981.20,1582613654592
3.02,1981.50,1582613656605
3.00,1981.25,1582613658631
3.01,1981.35,1582613660630
3.01,1981.35,1582613662596
3.01,1981.35,1582613664630
3.04,1981.90,1582613666603
3.04,1982.00,1582613668591
3.00,1981.25,1582613670631
3.05,1982.25,1582613672631
3.09,1982.85,1582613674589
3.04,1982.00,1582613676630
3.08,1982.70,1582613678632
3.04,1982.05,1582613680629
3.04,1982.05,1582613682631
3.04,1982.05,1582613684631
3.08,1982.65,1582613686619
3.05,1982.20,1582613688632
3.05,1982.20,1582613690629
3.08,1982.80,1582613692630
3.05,1982.20,1582613694630
3.09,1982.85,1582613696632
3.05,1982.20,1582613698627
3.08,1982.65,1582613700625
3.04,1982.00,1582613702604
3.04,1981.95,1582613704631
3.04,1981.95,1582613706628
3.04,1982.00,1582613708595
3.04,1982.00,1582613710625
3.07,1982.50,1582613712631
3.04,1982.00,1582613714631
3.01,1981.35,1582613716631
3.04,1981.95,1582613718631
3.04,1982.00,1582613720592
3.04,1982.00,1582613722630
3.01,1981.35,1582613724603
3.04,1982.00,1582613726633
3.01,1981.35,1582613728629
3.03,1981.85,1582613730629
3.01,1981.40,1582613732630
3.03,1981.85,1582613734632
3.01,1981.40,1582613736631
3.03,1981.85,1582613738593
3.04,1981.95,1582613740629
3.01,1981.35,1582613742629
3.02,1981.50,1582613744632
3.01,1981.35,1582613746586
3.01,1981.40,1582613748630
3.04,1981.95,1582613750629
3.04,1981.95,1582613752590
3.04,1981.95,1582613754628
3.04,1981.95,1582613756630
3.04,1982.00,1582613758630
3.04,1982.00,1582613760628
3.04,1981.90,1582613762629
3.03,1981.80,1582613764627
3.04,1982.00,1582613766629
2.99,1981.05,1582613768627
3.04,1981.90,1582613770627
3.03,1981.80,1582613772627
3.03,1981.80,1582613774629
3.03,1981.80,1582613776627
3.04,1981.90,1582613778628
3.04,1981.90,1582613780602
3.03,1981.80,1582613782600
3.03,1981.80,1582613784628
3.04,1982.00,1582613786627
3.04,1982.00,1582613788627
3.02,1981.50,1582613790629
3.04,1982.00,1582613792624
