amount,time
794.00,Wed Feb 26 11:39:29 2020
794.05,Wed Feb 26 11:39:31 2020
794.05,Wed Feb 26 11:39:33 2020
794.00,Wed Feb 26 11:39:35 2020
794.05,Wed Feb 26 11:39:37 2020
794.00,Wed Feb 26 11:39:39 2020
794.00,Wed Feb 26 11:39:41 2020
794.00,Wed Feb 26 11:39:43 2020
794.00,Wed Feb 26 11:39:45 2020
794.00,Wed Feb 26 11:39:47 2020
794.00,Wed Feb 26 11:39:49 2020
793.95,Wed Feb 26 11:39:51 2020
794.05,Wed Feb 26 11:39:53 2020
794.00,Wed Feb 26 11:39:55 2020
794.00,Wed Feb 26 11:39:57 2020
793.95,Wed Feb 26 11:39:59 2020
793.90,Wed Feb 26 11:40:01 2020
793.95,Wed Feb 26 11:40:03 2020
793.95,Wed Feb 26 11:40:05 2020
793.90,Wed Feb 26 11:40:07 2020
793.95,Wed Feb 26 11:40:09 2020
794.00,Wed Feb 26 11:40:11 2020
794.00,Wed Feb 26 11:40:13 2020
793.90,Wed Feb 26 11:40:15 2020
794.00,Wed Feb 26 11:40:17 2020
794.00,Wed Feb 26 11:40:19 2020
794.00,Wed Feb 26 11:40:21 2020
794.05,Wed Feb 26 11:40:23 2020
794.00,Wed Feb 26 11:40:25 2020
794.00,Wed Feb 26 11:40:27 2020
794.00,Wed Feb 26 11:40:29 2020
794.00,Wed Feb 26 11:40:31 2020
794.05,Wed Feb 26 11:40:33 2020
794.00,Wed Feb 26 11:40:35 2020
794.00,Wed Feb 26 11:40:37 2020
794.00,Wed Feb 26 11:40:39 2020
794.05,Wed Feb 26 11:40:41 2020
794.00,Wed Feb 26 11:40:43 2020
794.00,Wed Feb 26 11:40:45 2020
794.00,Wed Feb 26 11:40:47 2020
794.00,Wed Feb 26 11:40:49 2020
794.00,Wed Feb 26 11:40:51 2020
794.00,Wed Feb 26 11:40:53 2020
794.00,Wed Feb 26 11:40:55 2020
794.00,Wed Feb 26 11:40:57 2020
794.00,Wed Feb 26 11:40:59 2020
794.00,Wed Feb 26 11:41:01 2020
794.10,Wed Feb 26 11:41:03 2020
794.00,Wed Feb 26 11:41:05 2020
794.10,Wed Feb 26 11:41:07 2020
794.10,Wed Feb 26 11:41:09 2020
794.10,Wed Feb 26 11:41:11 2020
794.00,Wed Feb 26 11:41:13 2020
794.00,Wed Feb 26 11:41:15 2020
793.95,Wed Feb 26 11:41:17 2020
794.00,Wed Feb 26 11:41:19 2020
794.00,Wed Feb 26 11:41:21 2020
794.00,Wed Feb 26 11:41:23 2020
793.90,Wed Feb 26 11:41:25 2020
794.00,Wed Feb 26 11:41:27 2020
794.00,Wed Feb 26 11:41:29 2020
794.05,Wed Feb 26 11:41:31 2020
794.00,Wed Feb 26 11:41:33 2020
794.00,Wed Feb 26 11:41:35 2020
794.00,Wed Feb 26 11:41:37 2020
794.05,Wed Feb 26 11:41:39 2020
794.05,Wed Feb 26 11:41:41 2020
794.05,Wed Feb 26 11:41:43 2020
794.00,Wed Feb 26 11:41:45 2020
794.00,Wed Feb 26 11:41:47 2020
794.00,Wed Feb 26 11:41:49 2020
793.95,Wed Feb 26 11:41:51 2020
794.00,Wed Feb 26 11:41:53 2020
794.00,Wed Feb 26 11:41:55 2020
794.00,Wed Feb 26 11:41:57 2020
794.00,Wed Feb 26 11:41:59 2020
794.05,Wed Feb 26 11:42:01 2020
794.10,Wed Feb 26 11:42:03 2020
794.00,Wed Feb 26 11:42:05 2020
794.10,Wed Feb 26 11:42:07 2020
794.00,Wed Feb 26 11:42:09 2020
794.00,Wed Feb 26 11:42:11 2020
794.05,Wed Feb 26 11:42:13 2020
794.10,Wed Feb 26 11:42:15 2020
794.05,Wed Feb 26 11:42:17 2020
794.00,Wed Feb 26 11:42:19 2020
793.95,Wed Feb 26 11:42:21 2020
794.00,Wed Feb 26 11:42:23 2020
794.00,Wed Feb 26 11:42:25 2020
794.00,Wed Feb 26 11:42:27 2020
794.00,Wed Feb 26 11:42:29 2020
794.00,Wed Feb 26 11:42:31 2020
794.00,Wed Feb 26 11:42:33 2020
794.00,Wed Feb 26 11:42:35 2020
793.95,Wed Feb 26 11:42:37 2020
793.95,Wed Feb 26 11:42:39 2020
794.00,Wed Feb 26 11:42:41 2020
794.00,Wed Feb 26 11:42:43 2020
794.10,Wed Feb 26 11:42:45 2020
794.10,Wed Feb 26 11:42:47 2020
794.00,Wed Feb 26 11:42:49 2020
794.20,Wed Feb 26 11:42:51 2020
794.20,Wed Feb 26 11:42:53 2020
794.10,Wed Feb 26 11:42:55 2020
794.00,Wed Feb 26 11:42:57 2020
794.00,Wed Feb 26 11:42:59 2020
794.10,Wed Feb 26 11:43:01 2020
794.00,Wed Feb 26 11:43:03 2020
794.00,Wed Feb 26 11:43:05 2020
794.25,Wed Feb 26 11:43:07 2020
794.05,Wed Feb 26 11:43:09 2020
794.20,Wed Feb 26 11:43:11 2020
794.10,Wed Feb 26 11:43:13 2020
794.15,Wed Feb 26 11:43:15 2020
794.10,Wed Feb 26 11:43:17 2020
794.10,Wed Feb 26 11:43:19 2020
794.00,Wed Feb 26 11:43:21 2020
794.05,Wed Feb 26 11:43:23 2020
794.25,Wed Feb 26 11:43:25 2020
794.05,Wed Feb 26 11:43:27 2020
794.15,Wed Feb 26 11:43:29 2020
794.00,Wed Feb 26 11:43:31 2020
794.00,Wed Feb 26 11:43:33 2020
794.10,Wed Feb 26 11:43:35 2020
794.05,Wed Feb 26 11:43:37 2020
794.15,Wed Feb 26 11:43:39 2020
794.15,Wed Feb 26 11:43:41 2020
794.15,Wed Feb 26 11:43:43 2020
794.10,Wed Feb 26 11:43:45 2020
794.00,Wed Feb 26 11:43:47 2020
794.00,Wed Feb 26 11:43:49 2020
793.90,Wed Feb 26 11:43:51 2020
793.90,Wed Feb 26 11:43:53 2020
794.00,Wed Feb 26 11:43:55 2020
794.00,Wed Feb 26 11:43:57 2020
794.00,Wed Feb 26 11:43:59 2020
794.00,Wed Feb 26 11:44:01 2020
794.15,Wed Feb 26 11:44:03 2020
794.00,Wed Feb 26 11:44:05 2020
794.30,Wed Feb 26 11:44:07 2020
794.00,Wed Feb 26 11:44:09 2020
794.30,Wed Feb 26 11:44:11 2020
794.00,Wed Feb 26 11:44:13 2020
793.90,Wed Feb 26 11:44:15 2020
793.95,Wed Feb 26 11:44:17 2020
793.70,Wed Feb 26 11:44:19 2020
793.75,Wed Feb 26 11:44:21 2020
793.75,Wed Feb 26 11:44:23 2020
793.65,Wed Feb 26 11:44:25 2020
793.65,Wed Feb 26 11:44:27 2020
793.65,Wed Feb 26 11:44:29 2020
793.65,Wed Feb 26 11:44:31 2020
793.65,Wed Feb 26 11:44:33 2020
793.65,Wed Feb 26 11:44:35 2020
793.65,Wed Feb 26 11:44:37 2020
793.65,Wed Feb 26 11:44:39 2020
793.65,Wed Feb 26 11:44:41 2020
793.65,Wed Feb 26 11:44:43 2020
793.65,Wed Feb 26 11:45:05 2020
793.65,Wed Feb 26 11:45:07 2020
793.80,Wed Feb 26 11:45:09 2020
793.80,Wed Feb 26 11:45:11 2020
793.80,Wed Feb 26 11:45:13 2020
793.95,Wed Feb 26 11:45:15 2020
794.20,Wed Feb 26 11:45:17 2020
794.20,Wed Feb 26 11:45:19 2020
794.20,Wed Feb 26 11:45:21 2020
794.20,Wed Feb 26 11:45:23 2020
794.20,Wed Feb 26 11:45:25 2020
794.25,Wed Feb 26 11:45:27 2020
794.05,Wed Feb 26 11:45:29 2020
793.95,Wed Feb 26 11:45:31 2020
793.95,Wed Feb 26 11:45:33 2020
794.00,Wed Feb 26 11:45:35 2020
793.90,Wed Feb 26 11:45:37 2020
793.75,Wed Feb 26 11:45:39 2020
793.85,Wed Feb 26 11:45:41 2020
793.80,Wed Feb 26 11:45:43 2020
793.65,Wed Feb 26 11:45:45 2020
793.60,Wed Feb 26 11:45:47 2020
793.65,Wed Feb 26 11:45:49 2020
793.60,Wed Feb 26 11:45:51 2020
793.60,Wed Feb 26 11:45:53 2020
793.50,Wed Feb 26 11:45:55 2020
793.50,Wed Feb 26 11:45:57 2020
793.45,Wed Feb 26 11:45:59 2020
793.50,Wed Feb 26 11:46:01 2020
793.60,Wed Feb 26 11:46:03 2020
793.65,Wed Feb 26 11:46:05 2020
793.65,Wed Feb 26 11:46:07 2020
793.70,Wed Feb 26 11:46:09 2020
793.70,Wed Feb 26 11:46:11 2020
793.75,Wed Feb 26 11:46:13 2020
793.75,Wed Feb 26 11:46:15 2020
793.75,Wed Feb 26 11:46:17 2020
793.80,Wed Feb 26 11:46:19 2020
793.75,Wed Feb 26 11:46:21 2020
793.80,Wed Feb 26 11:46:23 2020
793.80,Wed Feb 26 11:46:25 2020
793.80,Wed Feb 26 11:46:27 2020
793.70,Wed Feb 26 11:46:29 2020
793.70,Wed Feb 26 11:46:31 2020
793.70,Wed Feb 26 11:46:33 2020
793.60,Wed Feb 26 11:46:35 2020
793.55,Wed Feb 26 11:46:37 2020
793.50,Wed Feb 26 11:46:39 2020
793.80,Wed Feb 26 11:46:41 2020
793.75,Wed Feb 26 11:46:43 2020
793.90,Wed Feb 26 11:46:45 2020
794.15,Wed Feb 26 11:46:47 2020
794.15,Wed Feb 26 11:46:49 2020
794.15,Wed Feb 26 11:46:51 2020
794.25,Wed Feb 26 11:46:53 2020
794.25,Wed Feb 26 11:46:55 2020
794.00,Wed Feb 26 11:46:57 2020
794.00,Wed Feb 26 11:46:59 2020
794.10,Wed Feb 26 11:47:01 2020
794.00,Wed Feb 26 11:47:03 2020
794.30,Wed Feb 26 11:47:05 2020
794.20,Wed Feb 26 11:47:07 2020
794.25,Wed Feb 26 11:47:09 2020
794.10,Wed Feb 26 11:47:11 2020
794.25,Wed Feb 26 11:47:13 2020
794.20,Wed Feb 26 11:47:15 2020
794.25,Wed Feb 26 11:47:17 2020
794.25,Wed Feb 26 11:47:19 2020
794.25,Wed Feb 26 11:47:21 2020
794.35,Wed Feb 26 11:47:23 2020
794.35,Wed Feb 26 11:47:25 2020
794.35,Wed Feb 26 11:47:27 2020
794.35,Wed Feb 26 11:47:29 2020
794.35,Wed Feb 26 11:47:31 2020
794.35,Wed Feb 26 11:47:33 2020
794.25,Wed Feb 26 11:47:35 2020
794.35,Wed Feb 26 11:47:37 2020
794.30,Wed Feb 26 11:47:39 2020
794.30,Wed Feb 26 11:47:41 2020
794.30,Wed Feb 26 11:47:43 2020
794.25,Wed Feb 26 11:47:45 2020
794.10,Wed Feb 26 11:47:47 2020
794.20,Wed Feb 26 11:47:49 2020
794.20,Wed Feb 26 11:47:51 2020
794.10,Wed Feb 26 11:47:53 2020
794.20,Wed Feb 26 11:47:55 2020
794.15,Wed Feb 26 11:47:57 2020
794.15,Wed Feb 26 11:47:59 2020
794.10,Wed Feb 26 11:48:01 2020
794.10,Wed Feb 26 11:48:03 2020
794.00,Wed Feb 26 11:48:05 2020
794.05,Wed Feb 26 11:48:07 2020
794.00,Wed Feb 26 11:48:09 2020
793.95,Wed Feb 26 11:48:11 2020
793.95,Wed Feb 26 11:48:13 2020
793.90,Wed Feb 26 11:48:15 2020
793.85,Wed Feb 26 11:48:17 2020
793.80,Wed Feb 26 11:48:19 2020
793.75,Wed Feb 26 11:48:21 2020
793.90,Wed Feb 26 11:48:23 2020
793.90,Wed Feb 26 11:48:25 2020
793.95,Wed Feb 26 11:48:27 2020
